1	  __ Curaao	9.067793003793005	7.544792982955387
1	 __ Curaao	9.067793003793005	7.544792982955387
3	  __ breadcrumbs	9.067793003793005	7.544792982955387
3	 __ breadcrumbs	9.067793003793005	7.544792982955387
5	  __ Vinegar	7.544792982955387	6.02179296211777
5	 __ Vinegar	7.544792982955387	6.02179296211777
6	Wine __ 	12.7282566606989	9.241653724862065
6	White Wine __ 	7.186055937656784	6.424555927237975
6	  White Wine __ 	4.5338965018965025	4.5338965018965025
8	  __ Nut	8.106886975956602	6.583886955118984
8	 __ Nut	8.106886975956602	6.583886955118984
10	Sweet __ 	8.296226964485061	6.39925492769294
10	 __ 	1.0838129915986634	-1.3679563723046715
12	  __ Green	4.5338965018965025	4.5338965018965025
12	 __ Green	7.186055937656784	6.424555927237975
12	  __ Green Tea Powder	4.5338965018965025	4.5338965018965025
12	 __ Green Tea	4.5338965018965025	4.5338965018965025
12	  __ Green Tea	4.5338965018965025	4.5338965018965025
13	Matcha __ Powder	9.067793003793005	7.544792982955387
13	  Matcha __ Powder	7.186055937656784	6.424555927237975
13	 __ Powder	2.656819140187713	1.9769601088519178
15	  __ Salt	8.106886975956602	6.583886955118984
15	 __ Salt	8.106886975956602	6.583886955118984
16	Hawaii __ 	9.067793003793005	7.544792982955387
16	  Hawaii __ 	7.186055937656784	6.424555927237975
16	 __ 	0.8098486254168369	-1.0221667357087503
18	Colored __ 	8.759233398616571	6.6681181049768155
18	 __ 	0.9398766425326143	-1.1862842135120932
20	Cooked __ 	8.759233398616571	6.528078696036609
20	 __ 	0.4965564112392989	-0.6267386645380525
22	  __ 	1.407888751641288	-0.40480035672177966
22	 __ 	0.6265844283550762	-0.7908561423413956
25	Butter __ 	9.067793003793005	7.544792982955387
25	  Butter __ 	7.186055937656784	6.424555927237975
25	 __ 	0.6265844283550762	-0.7908561423413956
24	  __ Margarine	9.067793003793005	7.544792982955387
24	 __ Margarine	9.067793003793005	7.544792982955387
26	  __ 	1.6345082234559012	-0.46995866054636326
26	 __ 	0.4965564112392989	-0.6267386645380525
27	  __ 	1.6345082234559012	-0.46995866054636326
27	 __ 	0.4965564112392989	-0.6267386645380525
28	  __ 	1.6345082234559012	-0.46995866054636326
28	 __ 	0.8098486254168369	-1.0221667357087503
30	  __ ice	3.5729904740600995	3.5729904740600995
30	 __ ice	5.663055916819165	4.9015559064003575
30	  __ ice cream	5.663055916819165	4.9015559064003575
30	 __ ice cream	3.5729904740600995	3.5729904740600995
31	Vanilla __ 	7.145980948120199	5.6229809272825815
31	  Vanilla __ 	5.979106976844202	5.217606966425392
31	 __ 	0.9398766425326143	-1.1862842135120932
33	  __ Brandy	8.106886975956602	6.583886955118984
33	 __ Brandy	8.106886975956602	6.583886955118984
34	Apricot __ 	9.067793003793005	7.544792982955387
34	  Apricot __ 	7.186055937656784	6.424555927237975
34	 __ 	0.4965564112392989	-0.6267386645380525
35	  __ 	1.6345082234559012	-0.46995866054636326
35	 __ 	0.4965564112392989	-0.6267386645380525
37	  __ mushroom	9.067793003793005	7.544792982955387
37	 __ mushroom	9.067793003793005	7.544792982955387
38	Egg __ 	8.106886975956602	6.583886955118984
38	  Egg __ 	6.424555927237975	5.663055916819165
38	 __ 	0.4965564112392989	-0.6267386645380525
40	Buckthorn __ 	9.067793003793005	7.544792982955387
40	Sea Buckthorn __ 	7.186055937656784	6.424555927237975
40	 __ 	0.9931128224785978	-1.253477329076105
43	Delicatessen __ 	9.067793003793005	7.544792982955387
43	  Delicatessen __ 	7.186055937656784	6.424555927237975
43	 __ 	0.3132922141775381	-0.3954280711706978
42	  __ Paprika	9.067793003793005	7.544792982955387
42	 __ Paprika	9.067793003793005	7.544792982955387
45	  __ 	1.407888751641288	-0.40480035672177966
45	 __ 	0.6265844283550762	-0.7908561423413956
49	Dried __ 	5.875507778878139	3.5786526106561016
49	 __ 	0.8795224395136366	-1.110106941920803
50	  __ 	1.6345082234559012	-0.46995866054636326
50	 __ 	0.4965564112392989	-0.6267386645380525
52	  __ ice	3.5729904740600995	3.5729904740600995
52	 __ ice	5.663055916819165	4.9015559064003575
52	  __ ice cream	5.663055916819165	4.9015559064003575
52	 __ ice cream	3.5729904740600995	3.5729904740600995
31	Walnut __ 	8.106886975956602	6.583886955118984
31	  Walnut __ 	6.424555927237975	5.663055916819165
53	  __ 	1.6345082234559012	-0.46995866054636326
53	 __ 	0.4965564112392989	-0.6267386645380525
55	  __ 	1.407888751641288	-0.40480035672177966
55	 __ 	0.6265844283550762	-0.7908561423413956
57	  __ 	1.407888751641288	-0.40480035672177966
57	 __ 	0.6265844283550762	-0.7908561423413956
60	  __ gum	8.106886975956602	6.583886955118984
60	 __ gum	8.106886975956602	6.583886955118984
62	  __ powder	6.583886955118984	5.060886934281367
62	 __ powder	6.185074920283798	4.9148262455402385
65	meat __ 	9.067793003793005	7.544792982955387
65	Processed meat __ 	7.186055937656784	6.424555927237975
65	 __ 	0.3132922141775381	-0.3954280711706978
64	Processed __ products	9.067793003793005	7.544792982955387
64	 __ products	9.067793003793005	7.544792982955387
68	hard __ 	9.067793003793005	7.544792982955387
68	Semi hard __ 	7.186055937656784	6.424555927237975
68	 __ 	1.2239984052475934	-1.5448942124964151
75	Oat __ 	8.106886975956602	6.583886955118984
75	Karma Oat __ 	7.186055937656784	6.424555927237975
75	Joaty Karma Oat __ 	4.5338965018965025	4.5338965018965025
74	Karma __ Yogurt	9.067793003793005	7.544792982955387
74	Joaty Karma __ Yogurt	7.186055937656784	6.424555927237975
