0.7662537329	35
0.7629503313	62
0.7627223590	110
0.7605982680	13
0.7604101789	59
0.7577462468	3
0.7554457699	39
0.7435108950	134
0.7415083050	141
0.7397301190	9
0.7315924212	38
0.7315073170	185
0.7305350383	212
0.7288673773	64
0.7280053545	21
0.7243051644	92
0.7235419163	221
0.7223763289	24
0.7163537295	161
0.7163196505	140
0.7136211362	105
0.7106477979	160
0.7086941039	73
0.7043755408	12
0.6981509496	14
0.6748578122	28
0.6721918332	273
0.6711730016	198
0.6690065604	80
0.6644298970	16
0.6579348974	75
0.6526461533	322
0.6503489779	415
0.6474408323	123
0.6458909068	118
0.6436771019	171
0.6410782551	15
0.6400801418	34
0.6362193322	91
0.6301162252	32
0.6230890720	17
0.6224246879	98
0.6218481403	79
0.6077404912	332
0.6054629193	115
0.5950044303	275
0.5950044303	66
0.5911525689	407
0.5718422708	45
0.5564693510	158
0.5509787073	162
